AutoRecord MainCharacterSystem & CharacterMotorConfig
Date: 2025-10-15 19:49:36
MainCharacterSystemAddr = 0x7241F98C80
CharacterMotorConfigAddr = 0x7241C56630
WindowBytes = 256
Time,Section,Offset,Address,FloatValue,DwordValue
2025-10-15 19:49:40,Main,0x4C,0x7241F98CCC,1.5974802493302915E-43,114
2025-10-15 19:49:40,Main,0x50,0x7241F98CD0,800.396484375,1145575776
2025-10-15 19:49:40,Main,0x54,0x7241F98CD4,1.5974802493302915E-43,114
2025-10-15 19:49:40,Main,0x58,0x7241F98CD8,800.390625,1145575680
2025-10-15 19:49:40,Main,0x5C,0x7241F98CDC,1.5974802493302915E-43,114
2025-10-15 19:49:40,Main,0x60,0x7241F98CE0,0.0,0
2025-10-15 19:49:40,Main,0x64,0x7241F98CE4,0.0,0
2025-10-15 19:49:40,Main,0x68,0x7241F98CE8,1.401298464324817E-45,1
2025-10-15 19:49:40,Main,0x6C,0x7241F98CEC,0.0,0
2025-10-15 19:49:40,Main,0x70,0x7241F98CF0,0.0,0
2025-10-15 19:49:40,Main,0x74,0x7241F98CF4,0.0,0
2025-10-15 19:49:40,Main,0x78,0x7241F98CF8,0.0,0
2025-10-15 19:49:40,Main,0x7C,0x7241F98CFC,0.0,0
2025-10-15 19:49:40,Main,0x80,0x7241F98D00,9.3063690087547E-10,813682624
2025-10-15 19:49:40,Main,0x84,0x7241F98D04,1.6114932339735396E-43,115
2025-10-15 19:49:40,Main,0x88,0x7241F98D08,0.0,0
2025-10-15 19:49:40,Main,0x8C,0x7241F98D0C,0.0,0
2025-10-15 19:49:40,Main,0x90,0x7241F98D10,0.0,0
2025-10-15 19:49:40,Main,0x94,0x7241F98D14,0.0,0
2025-10-15 19:49:40,Main,0x98,0x7241F98D18,0.0,0
2025-10-15 19:49:40,Main,0x9C,0x7241F98D1C,0.0,0
2025-10-15 19:49:40,Main,0xA0,0x7241F98D20,12183376.0,1262085968
2025-10-15 19:49:40,Main,0xA4,0x7241F98D24,1.5974802493302915E-43,114
